Ride,Date/Time,Wait Time
Haunted Mansion,2022-01-22 08:30:22,13
Haunted Mansion,2022-01-22 08:35:22,13
Haunted Mansion,2022-01-22 08:40:22,13
Haunted Mansion,2022-01-22 08:45:22,13
Haunted Mansion,2022-01-22 08:50:23,13
Haunted Mansion,2022-01-22 08:55:23,13
Haunted Mansion,2022-01-22 09:00:24,13
Haunted Mansion,2022-01-22 09:05:22,13
Haunted Mansion,2022-01-22 09:10:22,13
Haunted Mansion,2022-01-22 09:15:23,13
Haunted Mansion,2022-01-22 09:20:23,13
Haunted Mansion,2022-01-22 09:25:22,13
Haunted Mansion,2022-01-22 09:30:23,13
Haunted Mansion,2022-01-22 09:35:23,13
Haunted Mansion,2022-01-22 09:40:23,13
Haunted Mansion,2022-01-22 09:45:22,13
Haunted Mansion,2022-01-22 09:50:22,13
Haunted Mansion,2022-01-22 09:55:23,13
Haunted Mansion,2022-01-22 10:00:22,20
Haunted Mansion,2022-01-22 10:05:22,25
Haunted Mansion,2022-01-22 10:10:22,25
Haunted Mansion,2022-01-22 10:15:23,25
Haunted Mansion,2022-01-22 10:20:22,35
Haunted Mansion,2022-01-22 10:25:22,35
Haunted Mansion,2022-01-22 10:30:23,35
Haunted Mansion,2022-01-22 10:35:22,30
Haunted Mansion,2022-01-22 10:40:23,30
Haunted Mansion,2022-01-22 10:45:23,30
Haunted Mansion,2022-01-22 10:50:23,30
Haunted Mansion,2022-01-22 10:55:22,30
Haunted Mansion,2022-01-22 11:00:22,30
Haunted Mansion,2022-01-22 11:05:23,30
Haunted Mansion,2022-01-22 11:10:22,30
Haunted Mansion,2022-01-22 11:15:23,30
Haunted Mansion,2022-01-22 11:20:23,30
Haunted Mansion,2022-01-22 11:25:22,30
Haunted Mansion,2022-01-22 11:30:23,30
Haunted Mansion,2022-01-22 11:35:23,30
Haunted Mansion,2022-01-22 11:40:22,30
Haunted Mansion,2022-01-22 11:45:22,45
Haunted Mansion,2022-01-22 11:50:22,45
Haunted Mansion,2022-01-22 11:55:23,45
Haunted Mansion,2022-01-22 12:00:22,35
Haunted Mansion,2022-01-22 12:05:23,35
Haunted Mansion,2022-01-22 12:10:23,35
Haunted Mansion,2022-01-22 12:15:22,35
Haunted Mansion,2022-01-22 12:20:23,35
Haunted Mansion,2022-01-22 12:25:22,35
Haunted Mansion,2022-01-22 12:30:23,35
Haunted Mansion,2022-01-22 12:35:23,35
Haunted Mansion,2022-01-22 12:40:22,35
Haunted Mansion,2022-01-22 12:45:22,40
Haunted Mansion,2022-01-22 12:50:22,45
Haunted Mansion,2022-01-22 12:55:23,45
Haunted Mansion,2022-01-22 13:10:23,45
Haunted Mansion,2022-01-22 13:15:22,45
Haunted Mansion,2022-01-22 13:20:22,45
Haunted Mansion,2022-01-22 13:25:22,70
Haunted Mansion,2022-01-22 13:30:23,40
Haunted Mansion,2022-01-22 13:45:23,40
Haunted Mansion,2022-01-22 13:50:23,40
Haunted Mansion,2022-01-22 13:55:23,40
Haunted Mansion,2022-01-22 14:00:23,40
Haunted Mansion,2022-01-22 14:05:22,25
Haunted Mansion,2022-01-22 14:10:22,25
Haunted Mansion,2022-01-22 14:15:23,25
Haunted Mansion,2022-01-22 14:20:22,40
Haunted Mansion,2022-01-22 14:25:22,50
Haunted Mansion,2022-01-22 14:30:22,50
Haunted Mansion,2022-01-22 14:35:22,50
Haunted Mansion,2022-01-22 14:40:22,50
Haunted Mansion,2022-01-22 14:45:23,50
Haunted Mansion,2022-01-22 14:50:22,50
Haunted Mansion,2022-01-22 14:55:22,60
Haunted Mansion,2022-01-22 15:00:23,60
Haunted Mansion,2022-01-22 15:05:23,60
Haunted Mansion,2022-01-22 15:10:22,60
Haunted Mansion,2022-01-22 15:15:22,60
Haunted Mansion,2022-01-22 15:20:22,60
Haunted Mansion,2022-01-22 15:25:23,35
Haunted Mansion,2022-01-22 15:30:23,30
Haunted Mansion,2022-01-22 15:35:22,30
Haunted Mansion,2022-01-22 15:40:23,30
Haunted Mansion,2022-01-22 15:45:22,30
Haunted Mansion,2022-01-22 15:50:23,30
Haunted Mansion,2022-01-22 15:55:23,30
Haunted Mansion,2022-01-22 16:00:23,30
Haunted Mansion,2022-01-22 16:05:23,30
Haunted Mansion,2022-01-22 16:10:23,30
Haunted Mansion,2022-01-22 16:15:22,30
Haunted Mansion,2022-01-22 16:20:23,30
Haunted Mansion,2022-01-22 16:25:22,40
Haunted Mansion,2022-01-22 16:30:22,40
Haunted Mansion,2022-01-22 16:35:22,40
Haunted Mansion,2022-01-22 16:40:23,40
Haunted Mansion,2022-01-22 16:45:22,40
Haunted Mansion,2022-01-22 16:50:23,40
Haunted Mansion,2022-01-22 16:55:22,40
Haunted Mansion,2022-01-22 17:00:23,40
Haunted Mansion,2022-01-22 17:05:22,40
Haunted Mansion,2022-01-22 17:10:23,40
Haunted Mansion,2022-01-22 17:15:22,40
Haunted Mansion,2022-01-22 17:20:24,40
Haunted Mansion,2022-01-22 17:25:23,40
Haunted Mansion,2022-01-22 17:30:23,40
Haunted Mansion,2022-01-22 17:35:22,40
Haunted Mansion,2022-01-22 17:40:23,40
Haunted Mansion,2022-01-22 17:45:23,40
Haunted Mansion,2022-01-22 17:50:22,40
Haunted Mansion,2022-01-22 18:30:23,40
Haunted Mansion,2022-01-22 18:35:23,40
Haunted Mansion,2022-01-22 18:40:22,40
Haunted Mansion,2022-01-22 18:45:23,20
Haunted Mansion,2022-01-22 18:50:23,20
Haunted Mansion,2022-01-22 18:55:22,20
Haunted Mansion,2022-01-22 19:00:23,20
Haunted Mansion,2022-01-22 19:05:23,20
Haunted Mansion,2022-01-22 19:10:22,20
Haunted Mansion,2022-01-22 19:15:22,20
Haunted Mansion,2022-01-22 19:20:23,25
Haunted Mansion,2022-01-22 19:25:23,40
Haunted Mansion,2022-01-22 19:30:22,40
Haunted Mansion,2022-01-22 19:35:22,40
Haunted Mansion,2022-01-22 19:40:22,40
Haunted Mansion,2022-01-22 19:45:22,40
Haunted Mansion,2022-01-22 19:50:22,40
Haunted Mansion,2022-01-22 19:55:23,40
Haunted Mansion,2022-01-22 20:00:22,40
Haunted Mansion,2022-01-22 20:05:22,40
Haunted Mansion,2022-01-22 20:10:22,40
Haunted Mansion,2022-01-22 20:15:22,40
