Ride,Date/Time,Wait Time
Haunted Mansion,2021-08-01 08:05:05,5
Haunted Mansion,2021-08-01 08:10:04,13
Haunted Mansion,2021-08-01 08:15:04,13
Haunted Mansion,2021-08-01 08:20:04,13
Haunted Mansion,2021-08-01 08:25:05,13
Haunted Mansion,2021-08-01 08:30:05,13
Haunted Mansion,2021-08-01 08:35:04,13
Haunted Mansion,2021-08-01 08:40:05,13
Haunted Mansion,2021-08-01 08:45:03,13
Haunted Mansion,2021-08-01 08:50:05,13
Haunted Mansion,2021-08-01 08:55:03,13
Haunted Mansion,2021-08-01 09:00:03,13
Haunted Mansion,2021-08-01 09:05:06,13
Haunted Mansion,2021-08-01 09:10:05,13
Haunted Mansion,2021-08-01 09:15:04,13
Haunted Mansion,2021-08-01 09:20:06,13
Haunted Mansion,2021-08-01 09:25:06,13
Haunted Mansion,2021-08-01 09:30:04,13
Haunted Mansion,2021-08-01 09:35:05,13
Haunted Mansion,2021-08-01 09:40:05,13
Haunted Mansion,2021-08-01 09:45:04,13
Haunted Mansion,2021-08-01 09:50:05,13
Haunted Mansion,2021-08-01 09:55:05,13
Haunted Mansion,2021-08-01 10:00:05,13
Haunted Mansion,2021-08-01 10:05:05,13
Haunted Mansion,2021-08-01 10:10:04,13
Haunted Mansion,2021-08-01 10:15:03,15
Haunted Mansion,2021-08-01 10:20:05,15
Haunted Mansion,2021-08-01 10:25:04,15
Haunted Mansion,2021-08-01 10:40:04,15
Haunted Mansion,2021-08-01 10:45:04,15
Haunted Mansion,2021-08-01 10:50:04,15
Haunted Mansion,2021-08-01 10:55:06,15
Haunted Mansion,2021-08-01 11:00:04,15
Haunted Mansion,2021-08-01 11:05:05,15
Haunted Mansion,2021-08-01 11:10:04,15
Haunted Mansion,2021-08-01 11:15:04,15
Haunted Mansion,2021-08-01 11:20:05,25
Haunted Mansion,2021-08-01 11:25:06,25
Haunted Mansion,2021-08-01 11:30:05,25
Haunted Mansion,2021-08-01 11:35:03,25
Haunted Mansion,2021-08-01 11:40:04,25
Haunted Mansion,2021-08-01 11:45:04,25
Haunted Mansion,2021-08-01 11:50:05,25
Haunted Mansion,2021-08-01 11:55:04,25
Haunted Mansion,2021-08-01 12:00:04,25
Haunted Mansion,2021-08-01 12:05:05,25
Haunted Mansion,2021-08-01 12:10:04,25
Haunted Mansion,2021-08-01 12:15:04,25
Haunted Mansion,2021-08-01 12:20:05,25
Haunted Mansion,2021-08-01 12:25:05,25
Haunted Mansion,2021-08-01 12:30:05,25
Haunted Mansion,2021-08-01 12:35:05,25
Haunted Mansion,2021-08-01 12:50:05,25
Haunted Mansion,2021-08-01 12:55:05,25
Haunted Mansion,2021-08-01 13:00:06,25
Haunted Mansion,2021-08-01 13:05:05,25
Haunted Mansion,2021-08-01 13:10:05,25
Haunted Mansion,2021-08-01 13:15:04,25
Haunted Mansion,2021-08-01 13:20:06,25
Haunted Mansion,2021-08-01 13:25:05,25
Haunted Mansion,2021-08-01 13:30:05,25
Haunted Mansion,2021-08-01 13:35:05,25
Haunted Mansion,2021-08-01 13:45:05,25
Haunted Mansion,2021-08-01 13:50:06,25
Haunted Mansion,2021-08-01 13:55:05,25
Haunted Mansion,2021-08-01 14:00:04,25
Haunted Mansion,2021-08-01 14:05:07,25
Haunted Mansion,2021-08-01 14:10:04,25
Haunted Mansion,2021-08-01 14:15:04,25
Haunted Mansion,2021-08-01 14:20:05,25
Haunted Mansion,2021-08-01 14:25:04,25
Haunted Mansion,2021-08-01 14:30:05,25
Haunted Mansion,2021-08-01 14:35:04,25
Haunted Mansion,2021-08-01 14:40:04,25
Haunted Mansion,2021-08-01 14:45:05,25
Haunted Mansion,2021-08-01 14:50:05,25
Haunted Mansion,2021-08-01 14:55:03,45
Haunted Mansion,2021-08-01 15:00:05,45
Haunted Mansion,2021-08-01 15:05:06,30
Haunted Mansion,2021-08-01 15:10:04,50
Haunted Mansion,2021-08-01 15:15:04,50
Haunted Mansion,2021-08-01 15:20:03,50
Haunted Mansion,2021-08-01 15:25:04,35
Haunted Mansion,2021-08-01 15:30:05,35
Haunted Mansion,2021-08-01 15:35:05,35
Haunted Mansion,2021-08-01 15:40:04,25
Haunted Mansion,2021-08-01 15:45:03,25
Haunted Mansion,2021-08-01 15:50:05,25
Haunted Mansion,2021-08-01 15:55:05,20
Haunted Mansion,2021-08-01 16:00:04,40
Haunted Mansion,2021-08-01 16:05:05,40
Haunted Mansion,2021-08-01 16:10:04,40
Haunted Mansion,2021-08-01 16:15:04,25
Haunted Mansion,2021-08-01 16:20:05,25
Haunted Mansion,2021-08-01 16:25:05,25
Haunted Mansion,2021-08-01 16:30:05,25
Haunted Mansion,2021-08-01 16:35:05,25
Haunted Mansion,2021-08-01 16:40:04,25
Haunted Mansion,2021-08-01 16:45:04,25
Haunted Mansion,2021-08-01 16:50:05,25
Haunted Mansion,2021-08-01 18:35:04,13
Haunted Mansion,2021-08-01 18:40:04,13
Haunted Mansion,2021-08-01 18:45:04,13
Haunted Mansion,2021-08-01 18:50:04,20
Haunted Mansion,2021-08-01 18:55:04,20
Haunted Mansion,2021-08-01 19:00:05,20
Haunted Mansion,2021-08-01 19:05:05,20
Haunted Mansion,2021-08-01 19:10:05,20
Haunted Mansion,2021-08-01 19:15:05,20
Haunted Mansion,2021-08-01 19:20:04,20
Haunted Mansion,2021-08-01 19:25:04,20
Haunted Mansion,2021-08-01 19:30:05,20
Haunted Mansion,2021-08-01 19:35:05,20
Haunted Mansion,2021-08-01 19:40:05,20
Haunted Mansion,2021-08-01 19:45:05,20
Haunted Mansion,2021-08-01 19:50:06,45
Haunted Mansion,2021-08-01 19:55:03,45
Haunted Mansion,2021-08-01 20:00:05,25
Haunted Mansion,2021-08-01 20:05:06,25
Haunted Mansion,2021-08-01 20:10:04,25
Haunted Mansion,2021-08-01 20:15:06,25
Haunted Mansion,2021-08-01 20:20:04,25
Haunted Mansion,2021-08-01 20:25:05,25
Haunted Mansion,2021-08-01 20:30:04,15
Haunted Mansion,2021-08-01 20:35:04,13
Haunted Mansion,2021-08-01 20:40:05,13
Haunted Mansion,2021-08-01 20:45:05,13
Haunted Mansion,2021-08-01 20:50:05,13
Haunted Mansion,2021-08-01 20:55:04,13
Haunted Mansion,2021-08-01 21:00:14,13
Haunted Mansion,2021-08-01 21:05:05,13
Haunted Mansion,2021-08-01 21:10:05,13
Haunted Mansion,2021-08-01 21:15:05,13
Haunted Mansion,2021-08-01 21:20:05,13
Haunted Mansion,2021-08-01 21:25:06,13
Haunted Mansion,2021-08-01 21:30:05,13
Haunted Mansion,2021-08-01 21:35:05,13
Haunted Mansion,2021-08-01 21:40:04,13
Haunted Mansion,2021-08-01 21:45:06,13
Haunted Mansion,2021-08-01 21:50:06,13
Haunted Mansion,2021-08-01 21:55:06,13
Haunted Mansion,2021-08-01 22:00:06,13
Haunted Mansion,2021-08-02 08:05:05,5
Haunted Mansion,2021-08-02 08:10:04,5
Haunted Mansion,2021-08-02 08:15:04,13
Haunted Mansion,2021-08-02 08:20:04,13
Haunted Mansion,2021-08-02 08:25:06,13
Haunted Mansion,2021-08-02 08:30:03,13
Haunted Mansion,2021-08-02 08:35:04,13
Haunted Mansion,2021-08-02 08:40:04,13
Haunted Mansion,2021-08-02 08:45:04,13
Haunted Mansion,2021-08-02 08:50:04,13
Haunted Mansion,2021-08-02 08:55:04,13
Haunted Mansion,2021-08-02 09:00:03,13
Haunted Mansion,2021-08-02 09:05:06,13
Haunted Mansion,2021-08-02 09:10:04,13
Haunted Mansion,2021-08-02 09:15:05,13
Haunted Mansion,2021-08-02 09:20:06,13
Haunted Mansion,2021-08-02 09:25:06,13
Haunted Mansion,2021-08-02 09:30:05,13
Haunted Mansion,2021-08-02 09:35:04,13
Haunted Mansion,2021-08-02 09:40:04,13
Haunted Mansion,2021-08-02 09:45:03,13
